Phenotype,Source
25621#Weighted-mean L2 in tract uncinate fasciculus (left),Quantitative
25622#Weighted-mean L2 in tract uncinate fasciculus (right),Quantitative
25623#Weighted-mean L3 in tract acoustic radiation (left),Quantitative
25624#Weighted-mean L3 in tract acoustic radiation (right),Quantitative
25625#Weighted-mean L3 in tract anterior thalamic radiation (left),Quantitative
25626#Weighted-mean L3 in tract anterior thalamic radiation (right),Quantitative
25627#Weighted-mean L3 in tract cingulate gyrus part of cingulum (left),Quantitative
25628#Weighted-mean L3 in tract cingulate gyrus part of cingulum (right),Quantitative
25629#Weighted-mean L3 in tract parahippocampal part of cingulum (left),Quantitative
25630#Weighted-mean L3 in tract parahippocampal part of cingulum (right),Quantitative
25631#Weighted-mean L3 in tract corticospinal tract (left),Quantitative
25632#Weighted-mean L3 in tract corticospinal tract (right),Quantitative
25633#Weighted-mean L3 in tract forceps major,Quantitative
25634#Weighted-mean L3 in tract forceps minor,Quantitative
25635#Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),Quantitative
25636#Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),Quantitative
25637#Weighted-mean L3 in tract inferior longitudinal fasciculus (left),Quantitative
25638#Weighted-mean L3 in tract inferior longitudinal fasciculus (right),Quantitative
25639#Weighted-mean L3 in tract middle cerebellar peduncle,Quantitative
25640#Weighted-mean L3 in tract medial lemniscus (left),Quantitative
25641#Weighted-mean L3 in tract medial lemniscus (right),Quantitative
25642#Weighted-mean L3 in tract posterior thalamic radiation (left),Quantitative
25643#Weighted-mean L3 in tract posterior thalamic radiation (right),Quantitative
25644#Weighted-mean L3 in tract superior longitudinal fasciculus (left),Quantitative
25645#Weighted-mean L3 in tract superior longitudinal fasciculus (right),Quantitative
25646#Weighted-mean L3 in tract superior thalamic radiation (left),Quantitative
25647#Weighted-mean L3 in tract superior thalamic radiation (right),Quantitative
25648#Weighted-mean L3 in tract uncinate fasciculus (left),Quantitative
25649#Weighted-mean L3 in tract uncinate fasciculus (right),Quantitative
25650#Weighted-mean ICVF in tract acoustic radiation (left),Quantitative
25651#Weighted-mean ICVF in tract acoustic radiation (right),Quantitative
25652#Weighted-mean ICVF in tract anterior thalamic radiation (left),Quantitative
25653#Weighted-mean ICVF in tract anterior thalamic radiation (right),Quantitative
25654#Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),Quantitative
25655#Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),Quantitative
25656#Weighted-mean ICVF in tract parahippocampal part of cingulum (left),Quantitative
25657#Weighted-mean ICVF in tract parahippocampal part of cingulum (right),Quantitative
25658#Weighted-mean ICVF in tract corticospinal tract (left),Quantitative
25659#Weighted-mean ICVF in tract corticospinal tract (right),Quantitative
25660#Weighted-mean ICVF in tract forceps major,Quantitative
25661#Weighted-mean ICVF in tract forceps minor,Quantitative
25662#Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),Quantitative
25663#Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),Quantitative
25664#Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),Quantitative
25665#Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),Quantitative
25666#Weighted-mean ICVF in tract middle cerebellar peduncle,Quantitative
25667#Weighted-mean ICVF in tract medial lemniscus (left),Quantitative
25668#Weighted-mean ICVF in tract medial lemniscus (right),Quantitative
25669#Weighted-mean ICVF in tract posterior thalamic radiation (left),Quantitative
25670#Weighted-mean ICVF in tract posterior thalamic radiation (right),Quantitative
25671#Weighted-mean ICVF in tract superior longitudinal fasciculus (left),Quantitative
25672#Weighted-mean ICVF in tract superior longitudinal fasciculus (right),Quantitative
25673#Weighted-mean ICVF in tract superior thalamic radiation (left),Quantitative
25674#Weighted-mean ICVF in tract superior thalamic radiation (right),Quantitative
25675#Weighted-mean ICVF in tract uncinate fasciculus (left),Quantitative
25676#Weighted-mean ICVF in tract uncinate fasciculus (right),Quantitative
25677#Weighted-mean OD in tract acoustic radiation (left),Quantitative
25678#Weighted-mean OD in tract acoustic radiation (right),Quantitative
25679#Weighted-mean OD in tract anterior thalamic radiation (left),Quantitative
25680#Weighted-mean OD in tract anterior thalamic radiation (right),Quantitative
25681#Weighted-mean OD in tract cingulate gyrus part of cingulum (left),Quantitative
25682#Weighted-mean OD in tract cingulate gyrus part of cingulum (right),Quantitative
25683#Weighted-mean OD in tract parahippocampal part of cingulum (left),Quantitative
25684#Weighted-mean OD in tract parahippocampal part of cingulum (right),Quantitative
25685#Weighted-mean OD in tract corticospinal tract (left),Quantitative
25686#Weighted-mean OD in tract corticospinal tract (right),Quantitative
25687#Weighted-mean OD in tract forceps major,Quantitative
25688#Weighted-mean OD in tract forceps minor,Quantitative
25689#Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),Quantitative
25690#Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),Quantitative
25691#Weighted-mean OD in tract inferior longitudinal fasciculus (left),Quantitative
25692#Weighted-mean OD in tract inferior longitudinal fasciculus (right),Quantitative
25693#Weighted-mean OD in tract middle cerebellar peduncle,Quantitative
25694#Weighted-mean OD in tract medial lemniscus (left),Quantitative
25695#Weighted-mean OD in tract medial lemniscus (right),Quantitative
25696#Weighted-mean OD in tract posterior thalamic radiation (left),Quantitative
25697#Weighted-mean OD in tract posterior thalamic radiation (right),Quantitative
25698#Weighted-mean OD in tract superior longitudinal fasciculus (left),Quantitative
25699#Weighted-mean OD in tract superior longitudinal fasciculus (right),Quantitative
25700#Weighted-mean OD in tract superior thalamic radiation (left),Quantitative
25701#Weighted-mean OD in tract superior thalamic radiation (right),Quantitative
25702#Weighted-mean OD in tract uncinate fasciculus (left),Quantitative
25703#Weighted-mean OD in tract uncinate fasciculus (right),Quantitative
25704#Weighted-mean ISOVF in tract acoustic radiation (left),Quantitative
25705#Weighted-mean ISOVF in tract acoustic radiation (right),Quantitative
25706#Weighted-mean ISOVF in tract anterior thalamic radiation (left),Quantitative
25707#Weighted-mean ISOVF in tract anterior thalamic radiation (right),Quantitative
25708#Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),Quantitative
25709#Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),Quantitative
25710#Weighted-mean ISOVF in tract parahippocampal part of cingulum (left),Quantitative
25711#Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),Quantitative
25712#Weighted-mean ISOVF in tract corticospinal tract (left),Quantitative
25713#Weighted-mean ISOVF in tract corticospinal tract (right),Quantitative
25714#Weighted-mean ISOVF in tract forceps major,Quantitative
25715#Weighted-mean ISOVF in tract forceps minor,Quantitative
25716#Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),Quantitative
25717#Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right),Quantitative
25718#Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),Quantitative
25719#Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),Quantitative
25720#Weighted-mean ISOVF in tract middle cerebellar peduncle,Quantitative
25721#Weighted-mean ISOVF in tract medial lemniscus (left),Quantitative
25722#Weighted-mean ISOVF in tract medial lemniscus (right),Quantitative
25723#Weighted-mean ISOVF in tract posterior thalamic radiation (left),Quantitative
25724#Weighted-mean ISOVF in tract posterior thalamic radiation (right),Quantitative
25725#Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),Quantitative
25726#Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),Quantitative
25727#Weighted-mean ISOVF in tract superior thalamic radiation (left),Quantitative
25728#Weighted-mean ISOVF in tract superior thalamic radiation (right),Quantitative
25729#Weighted-mean ISOVF in tract uncinate fasciculus (left),Quantitative
25730#Weighted-mean ISOVF in tract uncinate fasciculus (right),Quantitative
25731#Discrepancy between T1 brain image and standard-space brain template (linearly-aligned),Quantitative
25732#Discrepancy between T1 brain image and standard-space brain template (nonlinearly-aligned),Quantitative
25733#Amount of warping applied to non-linearly align T1 brain image to standard-space,Quantitative
25734#Inverted signal-to-noise ratio in T1,Quantitative
25735#Inverted contrast-to-noise ratio in T1,Quantitative
25740#Discrepancy between tfMRI brain image and T1 brain image,Quantitative
25741#Mean rfMRI head motion averaged across space and time points,Quantitative
25742#Mean tfMRI head motion averaged across space and time points,Quantitative
25743#Inverted temporal signal-to-noise ratio in pre-processed rfMRI,Quantitative
25744#Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI,Quantitative
25745#Inverted temporal signal-to-noise ratio in pre-processed tfMRI,Quantitative
25761#90th percentile of BOLD effect (in group-defined mask) for shapes activation,Quantitative
25762#90th percentile of z-statistic (in group-defined mask) for shapes activation,Quantitative
25763#90th percentile of BOLD effect (in group-defined mask) for faces activation,Quantitative
25764#90th percentile of z-statistic (in group-defined mask) for faces activation,Quantitative
25765#90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast,Quantitative
25766#90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast,Quantitative
25767#90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast,Quantitative
25768#90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast,Quantitative
25781#Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),Quantitative
25782#Volume of grey matter in Frontal Pole (left),Quantitative
25783#Volume of grey matter in Frontal Pole (right),Quantitative
25784#Volume of grey matter in Insular Cortex (left),Quantitative
25785#Volume of grey matter in Insular Cortex (right),Quantitative
25786#Volume of grey matter in Superior Frontal Gyrus (left),Quantitative
25787#Volume of grey matter in Superior Frontal Gyrus (right),Quantitative
25788#Volume of grey matter in Middle Frontal Gyrus (left),Quantitative
25789#Volume of grey matter in Middle Frontal Gyrus (right),Quantitative
25790#Volume of grey matter in Inferior Frontal Gyrus pars triangularis (left),Quantitative
25791#Volume of grey matter in Inferior Frontal Gyrus pars triangularis (right),Quantitative
25792#Volume of grey matter in Inferior Frontal Gyrus pars opercularis (left),Quantitative
25793#Volume of grey matter in Inferior Frontal Gyrus pars opercularis (right),Quantitative
25794#Volume of grey matter in Precentral Gyrus (left),Quantitative
25795#Volume of grey matter in Precentral Gyrus (right),Quantitative
25796#Volume of grey matter in Temporal Pole (left),Quantitative
25797#Volume of grey matter in Temporal Pole (right),Quantitative
25798#Volume of grey matter in Superior Temporal Gyrus anterior division (left),Quantitative
25799#Volume of grey matter in Superior Temporal Gyrus anterior division (right),Quantitative
25800#Volume of grey matter in Superior Temporal Gyrus posterior division (left),Quantitative
25801#Volume of grey matter in Superior Temporal Gyrus posterior division (right),Quantitative
25802#Volume of grey matter in Middle Temporal Gyrus anterior division (left),Quantitative
25803#Volume of grey matter in Middle Temporal Gyrus anterior division (right),Quantitative
25804#Volume of grey matter in Middle Temporal Gyrus posterior division (left),Quantitative
25805#Volume of grey matter in Middle Temporal Gyrus posterior division (right),Quantitative
25806#Volume of grey matter in Middle Temporal Gyrus temporooccipital part (left),Quantitative
25807#Volume of grey matter in Middle Temporal Gyrus temporooccipital part (right),Quantitative
25808#Volume of grey matter in Inferior Temporal Gyrus anterior division (left),Quantitative
25809#Volume of grey matter in Inferior Temporal Gyrus anterior division (right),Quantitative
25810#Volume of grey matter in Inferior Temporal Gyrus posterior division (left),Quantitative
25811#Volume of grey matter in Inferior Temporal Gyrus posterior division (right),Quantitative
25812#Volume of grey matter in Inferior Temporal Gyrus temporooccipital part (left),Quantitative
25813#Volume of grey matter in Inferior Temporal Gyrus temporooccipital part (right),Quantitative
25814#Volume of grey matter in Postcentral Gyrus (left),Quantitative
25815#Volume of grey matter in Postcentral Gyrus (right),Quantitative
25816#Volume of grey matter in Superior Parietal Lobule (left),Quantitative
25817#Volume of grey matter in Superior Parietal Lobule (right),Quantitative
25818#Volume of grey matter in Supramarginal Gyrus anterior division (left),Quantitative
25819#Volume of grey matter in Supramarginal Gyrus anterior division (right),Quantitative
25820#Volume of grey matter in Supramarginal Gyrus posterior division (left),Quantitative
25821#Volume of grey matter in Supramarginal Gyrus posterior division (right),Quantitative
25822#Volume of grey matter in Angular Gyrus (left),Quantitative
